player_name,league,season,date,h_team,a_team,minute,xg_understat,goal_label,result
Kingsley Coman,Serie_A,2014,2014-08-30,Chievo,Juventus,34,0.0399367995560169,NO_GOAL,SavedShot
Kingsley Coman,Serie_A,2014,2015-04-11,Parma,Juventus,70,0.0177691001445055,NO_GOAL,BlockedShot
Kingsley Coman,Serie_A,2014,2015-05-09,Juventus,Cagliari,10,0.0192814990878105,NO_GOAL,MissedShots
Kingsley Coman,Serie_A,2015,2015-08-23,Juventus,Udinese,4,0.0380804017186164,NO_GOAL,SavedShot
Kingsley Coman,Bundesliga,2015,2015-09-19,Darmstadt,Bayern Munich,35,0.0240107998251914,NO_GOAL,BlockedShot
Kingsley Coman,Bundesliga,2015,2015-09-26,Mainz 05,Bayern Munich,44,0.0211734995245933,NO_GOAL,MissedShots
Kingsley Coman,Bundesliga,2015,2015-10-24,Bayern Munich,FC Cologne,51,0.0246954001486301,NO_GOAL,MissedShots
Kingsley Coman,Bundesliga,2015,2016-03-02,Bayern Munich,Mainz 05,28,0.0172616001218557,NO_GOAL,MissedShots
Kingsley Coman,Bundesliga,2016,2016-10-01,Bayern Munich,FC Cologne,59,0.0195662006735801,NO_GOAL,MissedShots
Kingsley Coman,Bundesliga,2016,2017-04-22,Bayern Munich,Mainz 05,65,0.0194636993110179,NO_GOAL,BlockedShot
Kingsley Coman,Bundesliga,2017,2017-08-18,Bayern Munich,Bayer Leverkusen,84,0.0497110001742839,NO_GOAL,BlockedShot
Kingsley Coman,Bundesliga,2017,2017-09-09,Hoffenheim,Bayern Munich,61,0.0232586003839969,NO_GOAL,MissedShots
Kingsley Coman,Bundesliga,2017,2017-10-14,Bayern Munich,Freiburg,9,0.0361215993762016,NO_GOAL,BlockedShot
Kingsley Coman,Bundesliga,2017,2017-12-02,Bayern Munich,Hannover 96,49,0.0223906002938747,NO_GOAL,BlockedShot
Kingsley Coman,Bundesliga,2018,2019-01-18,Hoffenheim,Bayern Munich,48,0.0364344008266925,NO_GOAL,SavedShot
Kingsley Coman,Bundesliga,2018,2019-02-02,Bayer Leverkusen,Bayern Munich,31,0.0288727991282939,NO_GOAL,SavedShot
Kingsley Coman,Bundesliga,2018,2019-02-02,Bayer Leverkusen,Bayern Munich,39,0.0519969016313552,NO_GOAL,SavedShot
